date,title,text
2017-06-26,[초보팁] 이사당일 집주인 대신 제가 현세입자에게 나갈 보증금을 주는 건가요?,"]  부동산 거래시 일어나는 실제 상황에 대한 질문과 답변입니다.  피해없는 거래 하시길 바랍니다.   질문: 전세를 계약하게 되었습니다. 정석대로 요구하셔서 계약금 10% 입금했습니다. 이사 전에 청소와 도배 등 시설 상태를 점검할 겸 세입자가 방을 빼면 가보겠다고 했더니 제가 현 세입자에게 나갈 보증금을 줘야지 보낸답니다. 즉 제가 이사 가는 날짜에 현 세입자도 이사를 간답니다.  원래 집주인이 전세금을 주고 보내는 거 아닌가요?  집주인은 원래 이렇게 해왔답니다. 그럼 저는 빈방인 상태에서 점검도 못할뿐더러 도배는 생각도 못하고 청소 한번도 못하고 이사를 가야 하는데 집주인은 ""배째라""는 식입니다. 계약 파기 사유가 될까요?    답변: 고객님의 사정은 이해하지만 안타깝게도 대부분의 전월세 계약이 기존세입자와 전환되는 형태입니다. 계약금 10%를 지급하셔도 잔금 납입이 완료되기 전까지 기존세입자가 전세금을 온전히 보전 받기 전에 집을 빼지 않는 경우가 대부분입니다.  대부분의 집주인이 새로운 세입자의 전세금을 받아서 기존세입자에게 입금하는 식으로 전월세 임대차 계약자를 대체하고 있습니다. 이 때문에 고객님이 원하시는 청소와 도배도 빈집이 아니고서는 대부분 이사 날짜에 가능하거나, 거주하면서 인테리어를 새롭게 해야 하는 경우가 많습니다.  집주인도 새로운 세입자에게 열쇠를 주는 시점은 잔금을 모두 받은 이후부터 입니다. 질문자께서 계약금 10%를 지급하셨다고 하더라도 계약이 마무리 된 것이 아니기 때문에 집주인에게 인테리어를 위해서 방을 비워달라고 요구하는 것은 무리입니다. 따라서 위와 같은 내용으로 계약 파기 사유에 해당되지 않으므로 미리 점검이 필요하신 부분이 있다면 기존세입자에게 양해를 구하여 체크리스트를 만들어 보시는 것은 어떨까 생각합니다."
2017-06-26,신규 분양만 ‘북적’… 약발 없는 6·19 부동산 대책,6·19대책 발표 이후 신규 주택분양 시장과 재고주택 시장 분위기가 갈리고 있다. 대출 규제가 아직 적용되지 않는 상황이라 새 아파트 분양 시장에는 ‘막차’를 타려는 청약자들이 몰리고 있다. 재건축을 포함한 기존 주택시장은 눈치 보기 장세가 지속 중이다.   25일 관련업계에 따르면 6·19대책 발표 뒤 문을 연 서울과 수도권 견본주택에는 인파가 몰려 인산인해를 이뤘다. 주택담보인정비율(LTV)과 총부채상환비율(DTI) 등 강화된 대출규제가 다음달 3일 모집공고분부터 적용되기 때문에 그 전에 분양하는 아파트를 분양받으려는 수요자가 대거 몰린 탓이다.  실제 대우건설이 서울 강동구 고덕동에 분양하는 주상복합 ‘고덕 센트럴 푸르지오’ 견본주택에는 지난 23일 개관 이후 주말까지 사흘 동안 2만5000여명이 다녀갔다. 이곳에는 규제 대상이 아닌 127실 규모의 오피스텔이 포함되어 있어 수요가 더욱 몰린 것으로 전해졌다. 반도건설이 고양시 관광문화단지(한류월드)에 분양하는 오피스텔인 ‘일산 한류월드 유보라 더 스마트’ 견본주택에도 규제를 피해간 상가·오피스텔에 투자하려는 인파까지 더해져 사흘간 2만여명이 다녀갔다. 서울에서 왔다는 최모(39)씨는 “GTX가 개통되면 강남까지 10분대로 이동이 가능하니 입주 후에 임대수요도 풍부할 것 같아 청약을 신청하려 한다”고 말했다. 이밖에 롯데건설이 은평구 수색4구역을 재개발해 짓는 ‘DMC 롯데캐슬 더 퍼스트’ 견본주택에도 2만3000여 명의 방문객이 몰렸다. 무더운 날씨에도 견본주택 앞에는 종일 100가 넘는 긴 줄이 형성됐다. . . . (중략)
2017-06-28,6월 아파트 거래량 사상 최대 왜?? 외 부동산뉴스 읽는 붇옹산 (2017.6.28),"용산 유엔사부지 1조넘는 금액에 팔려 http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003292202   6월 아파트 거래량 사상 최대 왜?? http://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=260&oid=023&aid=0003292096    전매제한에 양도세부담, 매력없는 1+1 http://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=260&oid=018&aid=0003860974    서울 첫 신탁재개발 흑석 11구역 http://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=260&oid=018&aid=0003861415   오늘은 4가지 정도 뉴스를 읽어보았습니다. ^^ 감사합니다.  2017.6.28 붇옹산TV"
2017-06-28,보험사 전세자금대출??,안녕하세요.  7월중에 이사를 가야하는데 들어오실분이 8월에 올수있다는 애매한 상황에 놓여있습니다. 중간에 보증금을 좀 매워볼까하는데 가장 저렴한 방법이 중도수수료가 없는 보험사의 전세자금대출이더군요.  근데 희안하게 어떻게 찾아봐야하는지 정보가 잘 안나오는데... 혹시 추천받을 수 있을까요?
2017-06-28,월세 500이 나오는 건물은 얼마나 할까요?,안녕하세요?  부동산 투자에 대해서 감을 잡으려고 질문 좀 드리겠습니다.  4층 또는 5층짜리 건물에서... 제가 꼭대기 층에서 살면서... 1~3층 또는 1~4층에서 월세를 500만원 받고자 한다면...   이런 건물은 보통 얼마나 할까요? (이런 역계산이 가능할까요?)   고맙습니다.
2017-06-28,주택청약통장 해지 시기,최근에 청약 당첨되어 계약 완료한 상태입니다. 주택청약을 해지해야 하는 것으로 알고 있는데 언제 해지해야하나요?? 주택청약 해지하고 종합통장 다시 가입하면 되는거지요? 월 납입금은 10만원으로 하면 되나요??
2017-06-28,부동산 질문답변) 행신동 아파트 갭투자 해도 될까요?,"부동산114에 회원님이 문의한 내용을 바탕으로 만든 자료입니다.  참고하시기 바랍니다.    질문 :  갭투자로 경기도 고양시 행신동 햇빛마을 아파트를 구입하려고 하는데 가격이 너무 올라서 상투를 잡는 건 아닌지 걱정입니다. 매매가 대비 85%로 전세를 안고 3,200만원 정도의 금액만 있으면 됩니다. 교통은 편리한데 집값이 최고점입니다. 지금 갭투자 해도 될까요?  답변 : 행신동의 경우 타 지역 대비 매매가격이 큰 폭으로 오른 지역은 아니기 때문에 상투 가능성은 높지 않습니다. 다만 입지적으로 다른 지역 대비 교통면에서 불편한 부분이 있어 매매가격이 현재 수준에서 정체된 상황인데요. 주변으로 삼송, 원흥, 지축 등 다양한 택지지구가 조성되면서 경기도 고양시 전반에 신규 아파트 공급도 많은 편입니다.  따라서 갭투자의 목적이 단기(1~2년) 시세차익 목적이라면 현재 수준에서의 갭투자는 추천 드리기 어렵습니다. 행신동 일대는 현재 시점에서 뚜렷한 호재(가치 상승) 요인이 없으므로 갭투자 보다는 실거주 목적으로 최소 3년 이상의 장기적인 관점에서 접근해야 합니다."
2017-06-27,전세보증금 만기시 혹은 만기전 돌려받는 방법 문의드립니다.,"내년 4월말 전세 만기가 됩니다. 저는 다른 아파트 신규분양권을 매입했고, 입주기간이 내년 1월말~3월말입니다.     즉 저는 3월말까지는 분양권 잔금을 치뤄야 하고,  전세만기인 4월말 전세보증금을 돌려받기 전까지 1개월간(3월말~4월말)의 잔금에 대해서는  잔금 집단대출과 신용대출 등을 통해 막아볼 생각입니다. 전세금이 5억이상아라 해당이자만도 꽤 발생하겠지만요.   그런데 문제는 이 아파트가 재건축 진행중이고  내년 하반기나 년말정도 이주가 진행될 거 같다는 점입니다. 집주인 입장에서는 이주가 몇개월 안남은 상황에서 신규세입자 받기가 쉽지 않겠죠.   집주인에게는 아직 저의 이런 상황들에 대해서는 얘기 안한 상태입니다.   무난히 전세보증금을 돌려받을수 있을지 좀 걱정되네요 아마도 여유돈을 갖고 있지는 않은거 같은데..   앞으로 제가 시기별로 어떤 조치들을 취해야 할까요? - '18년 1월말(전세만기 D-3개월) : 문자/ 우체국서면으로 내용증명 발송 - '18년 4월말(전세만기) : 보증금 미회입시, 일단 이사하고, ???소장을 집주인에게 통보?? 하면 5% 혹은 15%의 이자청구가 된다고 하던데..   아니면 순탄하게 돌려받기 위한 전략적인 방법이 뭐가 있을지.. 저도 대출이자를 내야하니,  전세만기전 신규아파트 입주기간중인 2월말~3월말에 미리 전세금을 돌려줄경우  해당 이자절감분 일부를 인센티브로 집주인에게 주는방법도 생각해 봤네요."
2017-06-27,판교 단지 비교 좀 부탁 드려요.,"안녕하세요. 이전에도 몇 번 게시판에 문의 드렸지만... 아직 분당에 전세로 살고 있는데 이번 더샾 분양가 보니 그냥 사는 게 낫나 싶더군요.  어느 정도 스크리닝 하고 나니 남는 곳이 서판교는 원마을 5, 9단지, 산운 13단지 동판교는 백현 2단지  정도군요. 보시면 느낌 오시겠지만 30평대 에서 얼추 비슷한 곳들 중에서 고른 곳이에요.  직장은 분당, 판교고, 아이 계획은 아직 없어서 학군 등은 크게 신경 쓰지 않습니다만.. 뭐 나중 생각하면 입지 좋은 곳이 좋겠다 정도 생각하고 있습니다. 집 처음 살 때 생각 나신다면 ㅠㅜ 도움 부탁 드려요. 감사합니다!"
2017-06-27,강남 집값 겸손해지는 집값 ㅎㅎ,와 20평만되도 100억이네오 ㅎㅎ
2017-06-27,주택종합청약통장 연말정산 문의?,주택종합청약통장 연말정산 문의?  이번에 청약이되서 통장은 해지할 예정입니다. 한 26회차 4백만원이 들어가 있습니다.  이 통장으로 연말정산으로 혜택받을수 있는게 있나요?  1. 저는 세대원이며 2. 세대주 중 주택을 소유한 사람이 있습니다. 3. 7월중으로 청약통장을 해지할 예정이구요 4. 청약통장으로 세제혜택을 받은적은 없습니다.  감사합니다.
2017-06-27,LTV 강화 관련 7월 주담대 신청상담결과,"안녕하세요.  4월말에 아파트 매매를 결심하고 계약까지 완료했습니다.(서울 강동구) 7월 마지막주 이사로 날을 잡고 바로 은행에 굽신거리러 갔는데 2달 전부터 대출신청이 가능하니 5월 마지막주에 다시 오라 해서, 등본초본외 기타 필요서류들을 가지고 은행에 갔었습니다.  그런데 이게 또 그.. 신청자체를 못하는건 아니지만 서류들을 어디 제출하는데 그것들의 유효기간이 1개월 이내라야 한다면서 6월 마지막주에 다시 서류만 새로 발급해서 오라고 하더군요.  그래서 6월을 보내고 있다가 6.19 대책이 나왔고 은행 주담대에 회사 주택대출까지 받아서 간신히 집을 마련하는거라 LTV가 10%씩이나(?) 강화되는 바람에 며칠을 잠을 못잤습니다.  뭐 정 안되면 신용대출 받지 하면서도 계속 불안했는데 혹시모르니 검색이나 더 해보자 하고 LTV 비율관련 기사들을 찾아봤는데 아래 기사가 뙇  http://news.mt.co.kr/mtview.php?no=2017062510102988492&outlink=1&ref=http%3A%2F%2Fsearch.naver.com - 7/3 이후 실행되는 대출이라도 6월 중 상담/대출승인이 완료된 건에 대해서는 이전의 대출비율을 적용한다  하아 그래서 부푼(?) 마음을 가지고 마침 서류 재발급해서 가져오라는 시점이었기에 오늘 오전에 은행에 들렀습니다. 기사내용이 맞고 직원이 본인이 좀 부지런하게 움직여서 빨리 신청넣고, 승인결과 나오는대로 이번주까지 연락을 주겠다고 했고 혹시라도 ""좀 어려울 수도 있습니다"" 같은 말은 전혀 하지 않았습니다.  혹시라도 저같이 마음졸이는 분이 계실까봐 한 분이라도 도움되셨으면 해서 글 올립니다. 그럼 좋은하루되세요~~"
2017-06-27,실 주거 목적으로 구매..,"안녕하세요 441버스입니다.  현재 아이는 없는 상태이며, 와이프와 함께.  양재역 5분거리의 노후된 작은빌라를 보유하여, 현재 7년째 거주중입니다.  위치가 너무 좋아, 들어올때 올 수리 하고 들어 왔습니다. 간혹 업자들이 신축하자고 하는데..   아무래도 집주인이 한명이 아니다 보니, 쉽게 되지도 않는것 같습니다.  처음에 직장이 둘다 집에서 가까워 구매 하였고, 그냥 저냥 만족하며 살고 있습니다.  이제 아이가 생기고, 집을 조금 넓혀야 하는 상황이 다가와, 도저히 서울 시내에서는 집값이 미친듯이 올라서  구매 할 수가 없더라구요.  그래서 이사 할 곳을 알아보고있는데, 직장은 인덕원입니다.  가용금액  대출 포함 약 3.5억 이며, 주변 괜찮은곳 추천 부탁드립니다.   동탄은 어떤지도 궁금합니다. 목적은 실 거주 목적입니다.  대한 민국 모든 사람들이 집걱정 없이 사는 그날까지 화이팅 입니다.!!!  참고 : 청약 통장 약 1,300만원 정도 있는 통장이 있으나, 쓸데가 없어서 어떻게해야 하나 고민중입니다."
2017-06-27,신혼집 전세 위치 의견 부탁드립니다.,"현재 산본 주공3단지 율곡아파트에 살고있는데요. 직장하고의 위치가 조금 멀어서 전세집을 옮기려고 생각하고 있습니다. 저는 직장이 역삼역이고 지하철로 출퇴근하고 있으며, 와이프는 직장이 안산 고잔쪽이며, 자차 출퇴근 중입니다. 와이프는 직장 여건상 지점근무라 지점이동이 자유로와 지역을 옮기는데 큰 문제는 없습니다. 아직 아기는 갖지 않았지만, 올해 계획중이라 아기가 생기면 처갓집 (안양 석수)에서 키워줄 예정입니다. 저희쪽 예산은 맥스가 3억정도(전세대출 포함) 입니다. 평촌, 범계 지역이나 신도림의 작은평수 (10평대) 정도 생각하고 있는데,  혹시 이 지역외에 추천해주실만한 지역있는지 조언부탁드립니다."
